,Location Name,Coordinates,URL for files
0,Viktoria.Island ARK RUS,"['36.73660', '80.15400', '68.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ARK_Arkhangelsk/RUS_ARK_Viktoria.Island.200260_TMYx.zip
1,Nagurskoye NEN RUS,"['47.41700', '80.81700', '18.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Nagurskoye.200340_TMYx.zip
2,Krenkel.Obs-Heiss.Island NEN RUS,"['58.05000', '80.61700', '22.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Krenkel.Obs-Heiss.Island.200460_TMYx.2004-2018.zip
3,Krenkel.Obs-Heiss.Island NEN RUS,"['58.05900', '80.62600', '22.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Krenkel.Obs-Heiss.Island.200460_TMYx.2007-2021.zip
4,Krenkel.Obs-Heiss.Island NEN RUS,"['58.05900', '80.62600', '22.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Krenkel.Obs-Heiss.Island.200460_TMYx.zip
5,Tikhaya.Bay ARK RUS,"['52.91700', '80.36700', '46.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ARK_Arkhangelsk/RUS_ARK_Tikhaya.Bay.200490_TMYx.zip
6,Ushakov.Island KYA RUS,"['79.70000', '80.83300', '47.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Ushakov.Island.200660_TMYx.zip
7,Vize.Island KYA RUS,"['76.98060', '79.49080', '10.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Vize.Island.200690_TMYx.2004-2018.zip
8,Vize.Island KYA RUS,"['76.98060', '79.49080', '10.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Vize.Island.200690_TMYx.2007-2021.zip
9,Vize.Island KYA RUS,"['76.98060', '79.49080', '10.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Vize.Island.200690_TMYx.zip
10,Golomyanny-Sredny.Island KYA RUS,"['90.56700', '79.55000', '8.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Golomyanny-Sredny.Island.200870_TMYx.2004-2018.zip
11,Golomyanny-Sredny.Island KYA RUS,"['90.57200', '79.55100', '8.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Golomyanny-Sredny.Island.200870_TMYx.2007-2021.zip
12,Golomyanny-Sredny.Island KYA RUS,"['90.57200', '79.55100', '8.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Golomyanny-Sredny.Island.200870_TMYx.zip
13,Peschany.Cape KYA RUS,"['102.4170', '79.38300', '6.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Peschany.Cape.200970_TMYx.zip
14,Krasnoflotskaya.Island KYA RUS,"['98.70000', '78.61700', '8.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Krasnoflotskaya.Island.201860_TMYx.zip
15,Maly.Taymyr.Island KYA RUS,"['107.2000', '78.13300', '12.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Maly.Taymyr.Island.201990_TMYx.zip
16,Uyedineniya.Island KYA RUS,"['82.23300', '77.51100', '23.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Uyedineniya.Island.202740_TMYx.zip
17,Isachenko.Island KYA RUS,"['89.66700', '77.28300', '5.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Isachenko.Island.202770_TMYx.zip
18,Russky.Island KYA RUS,"['96.37880', '77.09660', '9.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Russky.Island.202890_TMYx.zip
19,Solnechnaya.Bay KYA RUS,"['103.1170', '78.23300', '30.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Solnechnaya.Bay.202910_TMYx.zip
20,Fedorova.Obs KYA RUS,"['104.3000', '77.71700', '15.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Fedorova.Obs.202920_TMYx.2004-2018.zip
21,Fedorova.Obs KYA RUS,"['104.2920', '77.71300', '15.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Fedorova.Obs.202920_TMYx.2007-2021.zip
22,Fedorova.Obs KYA RUS,"['104.2920', '77.71300', '15.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Fedorova.Obs.202920_TMYx.zip
23,Geyberga.Island KYA RUS,"['101.4830', '77.61700', '6.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Geyberga.Island.202940_TMYx.zip
24,Zhelaniya.Cape NEN RUS,"['68.54500', '76.95100', '8.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Zhelaniya.Cape.203530_TMYx.2007-2021.zip
25,Zhelaniya.Cape NEN RUS,"['68.54500', '76.95100', '8.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Zhelaniya.Cape.203530_TMYx.zip
26,Russkaya.Gavan NEN RUS,"['62.59700', '76.18900', '361.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/NEN_Nenets/RUS_NEN_Russkaya.Gavan.203570_TMYx.zip
27,Pravdy.Island KYA RUS,"['94.74770', '76.27050', '12.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Pravdy.Island.203880_TMYx.zip
28,Izvesty.Tsik-Troynoy.Island KYA RUS,"['82.95000', '75.95000', '11.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Izvesty.Tsik-Troynoy.Island.204710_TMYx.2004-2018.zip
29,Izvesty.Tsik-Troynoy.Island KYA RUS,"['82.94600', '75.95200', '11.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Izvesty.Tsik-Troynoy.Island.204710_TMYx.2007-2021.zip
30,Izvesty.Tsik-Troynoy.Island KYA RUS,"['82.94600', '75.95200', '11.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Izvesty.Tsik-Troynoy.Island.204710_TMYx.zip
