,Location Name,Coordinates,URL for files
0,Burwash.AP YT CAN,"['-139.0400', '61.37060', '805.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/YT_Yukon/CAN_YT_Burwash.AP.710010_TMYx.2004-2018.zip
1,Burwash.AP YT CAN,"['-139.0400', '61.37060', '805.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/YT_Yukon/CAN_YT_Burwash.AP.710010_TMYx.2007-2021.zip
2,Burwash.AP YT CAN,"['-139.0400', '61.37060', '805.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/YT_Yukon/CAN_YT_Burwash.AP.710010_TMYx.zip
3,Churchill.Falls.AP NL CAN,"['-64.10640', '53.56190', '439.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Churchill.Falls.AP.710020_TMYx.2004-2018.zip
4,Churchill.Falls.AP NL CAN,"['-64.10640', '53.56190', '439.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Churchill.Falls.AP.710020_TMYx.2007-2021.zip
5,Churchill.Falls.AP NL CAN,"['-64.10640', '53.56190', '439.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Churchill.Falls.AP.710020_TMYx.zip
6,La.Grande.4.AP QC CAN,"['-73.67530', '53.75470', '306.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_La.Grande.4.AP.710030_TMYx.2004-2018.zip
7,La.Grande.4.AP QC CAN,"['-73.67530', '53.75470', '306.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_La.Grande.4.AP.710030_TMYx.2007-2021.zip
8,La.Grande.4.AP QC CAN,"['-73.67530', '53.75470', '306.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_La.Grande.4.AP.710030_TMYx.zip
9,Albert.Hall.AgCM AB CAN,"['-111.1670', '53.10000', '658.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Albert.Hall.AgCM.710050_TMYx.2004-2018.zip
10,Albert.Hall.AgCM AB CAN,"['-111.1812', '53.11340', '658.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Albert.Hall.AgCM.710050_TMYx.2007-2021.zip
11,Albert.Hall.AgCM AB CAN,"['-111.1812', '53.11340', '658.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Albert.Hall.AgCM.710050_TMYx.zip
12,Alliance.AgCM AB CAN,"['-111.7670', '52.30000', '737.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Alliance.AgCM.710060_TMYx.2004-2018.zip
13,Alliance.AgCM AB CAN,"['-111.7670', '52.30000', '737.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Alliance.AgCM.710060_TMYx.2007-2021.zip
14,Alliance.AgCM AB CAN,"['-111.7670', '52.30000', '737.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Alliance.AgCM.710060_TMYx.zip
15,Barons.AgCM AB CAN,"['-113.2244', '50.02580', '967.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Barons.AgCM.710070_TMYx.2004-2018.zip
16,Barons.AgCM AB CAN,"['-113.2244', '50.02580', '967.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Barons.AgCM.710070_TMYx.2007-2021.zip
17,Barons.AgCM AB CAN,"['-113.2244', '50.02580', '967.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Barons.AgCM.710070_TMYx.zip
18,Bassano.AgCM AB CAN,"['-112.4500', '50.88300', '807.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bassano.AgCM.710080_TMYx.2004-2018.zip
19,Bassano.AgCM AB CAN,"['-112.4650', '50.89250', '807.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bassano.AgCM.710080_TMYx.2007-2021.zip
20,Bassano.AgCM AB CAN,"['-112.4650', '50.89250', '807.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bassano.AgCM.710080_TMYx.zip
21,Beiseker.AgCM AB CAN,"['-113.3500', '51.36700', '896.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Beiseker.AgCM.710090_TMYx.2004-2018.zip
22,Beiseker.AgCM AB CAN,"['-113.3570', '51.37900', '896.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Beiseker.AgCM.710090_TMYx.2007-2021.zip
23,Beiseker.AgCM AB CAN,"['-113.3570', '51.37900', '896.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Beiseker.AgCM.710090_TMYx.zip
24,Bellshill.AgCM AB CAN,"['-111.4653', '52.58220', '721.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bellshill.AgCM.710100_TMYx.2004-2018.zip
25,Bellshill.AgCM AB CAN,"['-111.4653', '52.58220', '721.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bellshill.AgCM.710100_TMYx.2007-2021.zip
26,Bellshill.AgCM AB CAN,"['-111.4653', '52.58220', '721.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bellshill.AgCM.710100_TMYx.zip
27,Big.Valley.AgCM AB CAN,"['-112.8000', '51.98300', '870.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Big.Valley.AgCM.710110_TMYx.2004-2018.zip
28,Big.Valley.AgCM AB CAN,"['-112.8000', '51.98300', '870.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Big.Valley.AgCM.710110_TMYx.2007-2021.zip
29,Big.Valley.AgCM AB CAN,"['-112.8000', '51.98300', '870.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Big.Valley.AgCM.710110_TMYx.zip
30,Cadogan.AgCM AB CAN,"['-110.5100', '52.33420', '690.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cadogan.AgCM.710120_TMYx.2004-2018.zip
31,Cadogan.AgCM AB CAN,"['-110.5100', '52.33420', '690.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cadogan.AgCM.710120_TMYx.2007-2021.zip
32,Cadogan.AgCM AB CAN,"['-110.5100', '52.33420', '690.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cadogan.AgCM.710120_TMYx.zip
33,Craigmyle.AgCM AB CAN,"['-112.2522', '51.77500', '845.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Craigmyle.AgCM.710130_TMYx.2004-2018.zip
34,Craigmyle.AgCM AB CAN,"['-112.2522', '51.77500', '845.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Craigmyle.AgCM.710130_TMYx.2007-2021.zip
35,Craigmyle.AgCM AB CAN,"['-112.2522', '51.77500', '845.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Craigmyle.AgCM.710130_TMYx.zip
36,Delburne.AgCM AB CAN,"['-113.1756', '52.18280', '889.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Delburne.AgCM.710140_TMYx.2004-2018.zip
37,Delburne.AgCM AB CAN,"['-113.1756', '52.18280', '889.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Delburne.AgCM.710140_TMYx.2007-2021.zip
38,Delburne.AgCM AB CAN,"['-113.1756', '52.18280', '889.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Delburne.AgCM.710140_TMYx.zip
39,Milk.River.Ridge.Reservoir AB CAN,"['-112.5383', '49.28390', '1305.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Milk.River.Ridge.Reservoir.710150_TMYx.2004-2018.zip
40,Milk.River.Ridge.Reservoir AB CAN,"['-112.5383', '49.28390', '1305.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Milk.River.Ridge.Reservoir.710150_TMYx.2007-2021.zip
41,Milk.River.Ridge.Reservoir AB CAN,"['-112.5383', '49.28390', '1305.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Milk.River.Ridge.Reservoir.710150_TMYx.zip
42,Bullhorn.Headwaters AB CAN,"['-113.5506', '49.15250', '1326.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bullhorn.Headwaters.710160_TMYx.2004-2018.zip
43,Bullhorn.Headwaters AB CAN,"['-113.5506', '49.15250', '1326.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bullhorn.Headwaters.710160_TMYx.2007-2021.zip
44,Bullhorn.Headwaters AB CAN,"['-113.5506', '49.15250', '1326.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bullhorn.Headwaters.710160_TMYx.zip
45,Stefansson.Island NU CAN,"['-105.2830', '73.75000', '11.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Stefansson.Island.710170_TMYx.2004-2018.zip
46,Stefansson.Island NU CAN,"['-105.2830', '73.75000', '11.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Stefansson.Island.710170_TMYx.2007-2021.zip
47,Stefansson.Island NU CAN,"['-105.2830', '73.75000', '11.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Stefansson.Island.710170_TMYx.zip
48,St.Leonard.AP NB CAN,"['-67.83190', '47.15780', '245.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_St.Leonard.AP.710190_TMYx.2004-2018.zip
49,St.Leonard.AP NB CAN,"['-67.83190', '47.15780', '245.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_St.Leonard.AP.710190_TMYx.2007-2021.zip
50,St.Leonard.AP NB CAN,"['-67.83190', '47.15780', '245.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NB_New_Brunswick/CAN_NB_St.Leonard.AP.710190_TMYx.zip
