,Location Name,Coordinates,URL for files
0,Queen.Beatrix.Intl.AP AA ABW,"['-70.01500', '12.50100', '18.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ABW_Aruba/ABW_AA_Queen.Beatrix.Intl.AP.789820_TMYx.2004-2018.zip
1,Queen.Beatrix.Intl.AP AA ABW,"['-70.01500', '12.50100', '18.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ABW_Aruba/ABW_AA_Queen.Beatrix.Intl.AP.789820_TMYx.2007-2021.zip
2,Queen.Beatrix.Intl.AP AA ABW,"['-70.01500', '12.50100', '18.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ABW_Aruba/ABW_AA_Queen.Beatrix.Intl.AP.789820_TMYx.zip
3,Anguilla-Lloyd.Intl.AP TV AIA,"['-63.05000', '18.20000', '29.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/AIA_Anguilla/AIA_TV_Anguilla-Lloyd.Intl.AP.788460_TMYx.2004-2018.zip
4,Anguilla-Lloyd.Intl.AP TV AIA,"['-63.05000', '18.20000', '29.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/AIA_Anguilla/AIA_TV_Anguilla-Lloyd.Intl.AP.788460_TMYx.2007-2021.zip
5,Anguilla-Lloyd.Intl.AP TV AIA,"['-63.05000', '18.20000', '29.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/AIA_Anguilla/AIA_TV_Anguilla-Lloyd.Intl.AP.788460_TMYx.zip
6,Coolidge.Field-Antigua.Aux.AFB JO ATG,"['-61.78300', '17.11700', '10.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_Coolidge.Field-Antigua.Aux.AFB.788610_TMYx.2007-2021.zip
7,Coolidge.Field-Antigua.Aux.AFB JO ATG,"['-61.78300', '17.11700', '10.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_Coolidge.Field-Antigua.Aux.AFB.788610_TMYx.zip
8,Bird.Intl.AP JO ATG,"['-61.79300', '17.13700', '18.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_Bird.Intl.AP.788620_TMYx.2004-2018.zip
9,Bird.Intl.AP JO ATG,"['-61.79300', '17.13700', '18.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_Bird.Intl.AP.788620_TMYx.2007-2021.zip
10,Bird.Intl.AP JO ATG,"['-61.79300', '17.13700', '18.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_Bird.Intl.AP.788620_TMYx.zip
11,St.Johns JO ATG,"['-61.78300', '17.13300', '18.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_St.Johns.788629_TMYx.2007-2021.zip
12,St.Johns JO ATG,"['-61.78300', '17.13300', '18.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_JO_St.Johns.788629_TMYx.zip
13,Barbuda BB ATG,"['-61.82100', '17.59100', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_BB_Barbuda.998441_TMYx.2004-2018.zip
14,Barbuda BB ATG,"['-61.82100', '17.59100', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_BB_Barbuda.998441_TMYx.2007-2021.zip
15,Barbuda BB ATG,"['-61.82100', '17.59100', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/ATG_Antigua_and_Barbuda/ATG_BB_Barbuda.998441_TMYx.zip
16,St.Eustatius-Roosevelt.AP SE BES,"['-62.97900', '17.49600', '39.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_SE_St.Eustatius-Roosevelt.AP.788730_TMYx.2004-2018.zip
17,St.Eustatius-Roosevelt.AP SE BES,"['-62.97900', '17.49600', '39.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_SE_St.Eustatius-Roosevelt.AP.788730_TMYx.2007-2021.zip
18,St.Eustatius-Roosevelt.AP SE BES,"['-62.97900', '17.49600', '39.3']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_SE_St.Eustatius-Roosevelt.AP.788730_TMYx.zip
19,Bonaire-Flamingo.Intl.AP BO BES,"['-68.26900', '12.13100', '6.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_BO_Bonaire-Flamingo.Intl.AP.789900_TMYx.2004-2018.zip
20,Bonaire-Flamingo.Intl.AP BO BES,"['-68.26900', '12.13100', '6.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_BO_Bonaire-Flamingo.Intl.AP.789900_TMYx.2007-2021.zip
21,Bonaire-Flamingo.Intl.AP BO BES,"['-68.26900', '12.13100', '6.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BES_Bonaire_Saba_Eustasius/BES_BO_Bonaire-Flamingo.Intl.AP.789900_TMYx.zip
22,West.End.Intl.AP WB BHS,"['-78.96700', '26.70000', '4.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BHS_Bahamas/BHS_WB_West.End.Intl.AP.780610_TMYx.2004-2018.zip
23,West.End.Intl.AP WB BHS,"['-78.96700', '26.70000', '4.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BHS_Bahamas/BHS_WB_West.End.Intl.AP.780610_TMYx.zip
24,Freeport-Grand.Bahama.Intl.AP FP BHS,"['-78.69600', '26.55900', '2.1']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/BHS_Bahamas/BHS_FP_Freeport-Grand.Bahama.Intl.AP.780620_TMYx.2004-2018.zip
