,Location Name,Coordinates,URL for files
0,Cape.Taputapu WT ASM,"['-170.8304', '-14.32290', '117.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_WT_Cape.Taputapu.917640_TMYx.zip
1,Tafuna-Pago.Pago.Intl.AP ET ASM,"['-170.7140', '-14.33100', '3.7']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Tafuna-Pago.Pago.Intl.AP.917650_TMYx.2004-2018.zip
2,Tafuna-Pago.Pago.Intl.AP ET ASM,"['-170.7140', '-14.33100', '3.7']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Tafuna-Pago.Pago.Intl.AP.917650_TMYx.2007-2021.zip
3,Tafuna-Pago.Pago.Intl.AP ET ASM,"['-170.7140', '-14.33100', '3.7']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Tafuna-Pago.Pago.Intl.AP.917650_TMYx.zip
4,Cape.Matatula-NDACC.Stn ET ASM,"['-170.5644', '-14.24730', '73.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Cape.Matatula-NDACC.Stn.917660_TMYx.zip
5,Tau.Island MA ASM,"['-169.4962', '-14.23620', '281.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_MA_Tau.Island.917680_TMYx.zip
6,Pago.Pago ET ASM,"['-170.7000', '-14.28000', '3.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Pago.Pago.997699_TMYx.2004-2018.zip
7,Pago.Pago ET ASM,"['-170.7000', '-14.28000', '3.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Pago.Pago.997699_TMYx.2007-2021.zip
8,Pago.Pago ET ASM,"['-170.7000', '-14.28000', '3.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/ASM_American_Samoa/ASM_ET_Pago.Pago.997699_TMYx.zip
9,Kalumburu.AP WA AUS,"['126.6382', '-14.28610', '24.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Kalumburu.AP.941000_TMYx.2004-2018.zip
10,Kalumburu.AP WA AUS,"['126.6453', '-14.29640', '24.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Kalumburu.AP.941000_TMYx.2007-2021.zip
11,Kalumburu.AP WA AUS,"['126.6453', '-14.29640', '24.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Kalumburu.AP.941000_TMYx.zip
12,Kalumburu.Mission WA AUS,"['126.6500', '-14.30000', '24.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Kalumburu.Mission.941010_TMYx.zip
13,Troughton.Island.AP WA AUS,"['126.1500', '-13.75000', '8.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Troughton.Island.AP.941020_TMYx.2004-2018.zip
14,Troughton.Island.AP WA AUS,"['126.1490', '-13.75400', '8.0']",https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/WA_Western_Australia/AUS_WA_Troughton.Island.AP.941020_TMYx.2007-2021.zip
