Location Name,Coordinates,URL for files,zip,WMO,last_year,Country,WBAN,Latitude,Longitude,Heating DB 99.6%,Heating DB 99%,Cooling DB 0.4%,Cooling MCWB 0.4%,Cooling DB 1%,Cooling MCWB 1%,Cooling DB 2%,Cooling MCWB 2%,Evaporation WB 0.4%,Evaporation MCDB 0.4%,Evaporation WB 1%,Evaporation MCDB 1%,Evaporation WB 2%,Evaporation MCDB 2%
Jan.Mayen JN SJM,"['-8.66800', '70.94000', '9.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/JN_Jan_Mayen/SJM_JN_Jan.Mayen.010010_TMYx.zip,SJM_JN_Jan.Mayen.010010_TMYx.zip,10010,010010_TMYx,SvalbardandJanMayen,99999,70.940N,8.668W,-14.0,-11.8,9.6,8.0,8.9,7.7,8.4,7.4,8.6,9.2,8.1,8.7,7.7,8.2
Jan.Mayen JN SJM,"['-8.66800', '70.94000', '9.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/JN_Jan_Mayen/SJM_JN_Jan.Mayen.010010_TMYx.2007-2021.zip,SJM_JN_Jan.Mayen.010010_TMYx.2007-2021.zip,10010,2021,SvalbardandJanMayen,99999,70.940N,8.668W,-14.0,-11.8,9.6,8.0,8.9,7.7,8.4,7.4,8.6,9.2,8.1,8.7,7.7,8.2
Jan.Mayen JN SJM,"['-8.61710', '70.96200', '9.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/JN_Jan_Mayen/SJM_JN_Jan.Mayen.010010_TMYx.2004-2018.zip,SJM_JN_Jan.Mayen.010010_TMYx.2004-2018.zip,10010,2018,SvalbardandJanMayen,99999,70.940N,8.668W,-14.0,-11.8,9.6,8.0,8.9,7.7,8.4,7.4,8.6,9.2,8.1,8.7,7.7,8.2
Hornsund SV SJM,"['15.50000', '77.00000', '12.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Hornsund.010030_TMYx.2004-2018.zip,SJM_SV_Hornsund.010030_TMYx.2004-2018.zip,10030,2018,SvalbardandJanMayen,99999,77.000N,15.500E,-22.1,-20.5,8.1,6.1,7.2,5.6,6.6,5.2,6.6,7.5,6.0,6.8,5.5,6.3
Hornsund SV SJM,"['15.50000', '77.00000', '12.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Hornsund.010030_TMYx.2007-2021.zip,SJM_SV_Hornsund.010030_TMYx.2007-2021.zip,10030,2021,SvalbardandJanMayen,99999,77.000N,15.500E,-22.1,-20.5,8.1,6.1,7.2,5.6,6.6,5.2,6.6,7.5,6.0,6.8,5.5,6.3
Hornsund SV SJM,"['15.50000', '77.00000', '12.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Hornsund.010030_TMYx.zip,SJM_SV_Hornsund.010030_TMYx.zip,10030,010030_TMYx,SvalbardandJanMayen,99999,77.000N,15.500E,-22.1,-20.5,8.1,6.1,7.2,5.6,6.6,5.2,6.6,7.5,6.0,6.8,5.5,6.3
Edgeoya SV SJM,"['22.82250', '78.25060', '14.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Edgeoya.010060_TMYx.zip,SJM_SV_Edgeoya.010060_TMYx.zip,10060,010060_TMYx,Norway,99999,78.251N,22.823E,-28.0,-25.7,9.2,7.3,8.1,6.5,7.1,5.7,7.5,8.9,6.6,7.9,5.8,7.0
Edgeoya SV SJM,"['22.82250', '78.25060', '14.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Edgeoya.010060_TMYx.2007-2021.zip,SJM_SV_Edgeoya.010060_TMYx.2007-2021.zip,10060,2021,Norway,99999,78.251N,22.823E,-28.0,-25.7,9.2,7.3,8.1,6.5,7.1,5.7,7.5,8.9,6.6,7.9,5.8,7.0
Edgeoya SV SJM,"['22.82250', '78.25060', '14.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Edgeoya.010060_TMYx.2004-2018.zip,SJM_SV_Edgeoya.010060_TMYx.2004-2018.zip,10060,2018,Norway,99999,78.251N,22.823E,-28.0,-25.7,9.2,7.3,8.1,6.5,7.1,5.7,7.5,8.9,6.6,7.9,5.8,7.0
Ny-Alesund SV SJM,"['11.93310', '78.92280', '7.7']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Ny-Alesund.010070_TMYx.2007-2021.zip,SJM_SV_Ny-Alesund.010070_TMYx.2007-2021.zip,10070,2021,SvalbardandJanMayen,99999,78.9228N,11.9331E,-25.2,-22.7,9.9,6.8,8.7,6.1,7.9,5.6,7.3,9.3,6.5,8.4,5.8,7.6
