Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-14.4,-12.9,9.696399999999993,8.5
-14.4,-12.9,9.696399999999993,8.5
-11.0,-10.4,9.7,9.0
-12.5,-11.0,10.1,9.2
-15.2,-14.3,8.0,7.4
-19.596400000000003,-18.2,7.6,6.9
-20.8,-18.2,8.2,7.4
-25.096400000000003,-22.0,6.096399999999994,5.4
-25.096400000000003,-22.0,7.7,6.5
-21.0,-19.5,9.3,8.3
-19.2,-17.6,10.7,9.040999999999986
-18.3964,-17.4,8.0,7.6
-26.4964,-23.741,9.896399999999995,8.3
-31.2892,-27.7,10.6,9.8
-19.9964,-18.182000000000002,11.6,10.6
-22.6,-20.0,12.0,10.4
-8.7,-6.9,17.6,16.6
-8.7,-7.0,18.996399999999994,17.2
-10.2,-8.841000000000001,19.0,17.0
-12.196399999999999,-6.0,17.596399999999996,16.640999999999988
-8.8,-7.140999999999999,18.6,16.9
-8.3964,-7.5,18.4,16.9
-19.0,-18.041,15.1,13.5
-19.6,-19.0,9.2,8.5
-15.9,-15.2,9.6,9.140999999999986
-27.0,-24.2,23.2,21.6
-25.596400000000003,-23.141000000000002,21.8,20.6
-28.0,-22.5,22.896399999999993,20.9
-10.0,-9.2,19.196399999999993,17.6
-9.3,-8.541,19.6,17.9
-11.2,-10.5,19.696399999999993,18.1
-8.9,-7.9,20.396399999999993,18.8
-8.9,-8.0,20.996399999999994,19.8
-9.2,-8.5,21.09279999999999,19.1
-23.3964,-18.541,10.2,8.7
-11.0,-10.3,12.1,10.1
-11.7964,-10.4,10.3,9.5
-7.6964,-5.140999999999999,17.496399999999994,16.340999999999987
-6.7,-5.3,17.196399999999993,15.7
-5.9,-5.4,17.7,16.5
-17.5928,-14.5,21.2,19.9
-20.8964,-17.841,21.996399999999994,19.881999999999973
-20.8964,-16.6,19.496399999999994,18.440999999999985
-14.0,-12.9,20.0,18.8
-13.8964,-12.2,21.2,19.2
-20.1,-17.0,20.1,18.540999999999986
